"id","robot","match","piece","pickup","score","level","success","time","phase"
1171,7136,45,"cargo","top-hp","front-cargo","1","success",2481,"tele"
1172,7136,45,"cargo","bot-hp","top-cargo","1","success",14383,"tele"
1173,7520,45,"cargo","preload","top-cargo","1","success",31394,"tele"
1174,7520,45,"cargo","top-hp","dropped","0","dropped",2493,"tele"
1175,6867,46,"hatch","preload","top-rocket-low","1","success",13210,"sandstorm"
1176,6867,46,"hatch","top-hp","bot-rocket-low","1","success",19276,"tele"
1177,6867,46,"hatch","top-hp","bot-rocket-low","1","success",21842,"tele"
1178,6867,46,"hatch","top-hp","front-cargo","1","success",19470,"tele"
1179,6867,46,"hatch","top-hp","top-rocket-low","1","success",12426,"tele"
1180,6867,46,"hatch","top-hp","top-rocket-low","1","success",14542,"tele"
1181,4308,46,"hatch","preload","front-cargo","1","success",6583,"tele"
1182,4308,46,"cargo","top-hp","top-cargo","1","success",4159,"tele"
1183,4308,46,"cargo","floor","front-cargo","1","success",6822,"tele"
1184,4308,46,"cargo","top-hp","top-rocket-low","1","success",8748,"tele"
1185,5406,46,"hatch","preload","bot-rocket-mid","2","success",9681,"sandstorm"
1186,5406,46,"hatch","bot-hp","bot-rocket-mid","2","success",12855,"tele"
1187,5406,46,"cargo","floor","bot-rocket-mid","2","success",7769,"tele"
1188,5406,46,"hatch","bot-hp","bot-rocket-high","3","success",11834,"tele"
1189,5406,46,"hatch","bot-hp","bot-rocket-high","3","success",17551,"tele"
1190,5406,46,"cargo","floor","bot-rocket-high","3","success",11357,"tele"
1191,5406,46,"cargo","floor","bot-rocket-high","3","attempted",5104,"tele"
1192,5406,46,"cargo","floor","bot-rocket-high","3","success",14969,"tele"
1193,7476,47,"hatch","preload","bot-rocket-mid","2","success",18518,"sandstorm"
1194,7476,47,"hatch","bot-hp","bot-rocket-high","3","success",57316,"tele"
1195,7476,47,"hatch","top-hp","top-rocket-mid","2","success",14909,"tele"
1196,7476,47,"cargo","floor","top-rocket-mid","2","attempted",7295,"tele"
1197,6866,47,"cargo","preload","top-cargo","1","success",7978,"sandstorm"
1198,6866,47,"cargo","top-hp","top-cargo","1","success",9721,"tele"
1199,6866,47,"cargo","floor","top-cargo","1","attempted",8301,"tele"
1200,6866,47,"cargo","floor","top-cargo","1","success",10675,"tele"
1201,6866,47,"cargo","bot-hp","bot-cargo","1","success",7426,"tele"
1202,6866,47,"cargo","bot-hp","bot-cargo","1","attempted",11331,"tele"
1203,6866,47,"cargo","floor","bot-cargo","1","success",7722,"tele"
