"robot","match","level","success","time","phase","id"
746,51,2,"scored",NULL,"sandstorm",583
746,51,3,"scored",NULL,"tele",584
5911,51,2,"none",NULL,"sandstorm",585
4939,51,1,"scored",NULL,"sandstorm",586
5076,51,1,"scored",NULL,"sandstorm",587
6342,51,0,"none",NULL,"sandstorm",588
7710,51,1,"scored",NULL,"sandstorm",589
7710,51,2,"scored",NULL,"tele",590
6867,52,1,"scored",NULL,"sandstorm",591
6867,52,2,"scored",NULL,"tele",592
7690,52,2,"scored",NULL,"sandstorm",593
1334,52,2,"scored",NULL,"sandstorm",594
1334,52,1,"scored",NULL,"tele",595
6866,52,0,"scored",NULL,"sandstorm",596
6878,52,2,"scored",NULL,"sandstorm",597
6878,52,1,"scored",NULL,"tele",598
7520,52,1,"scored",NULL,"sandstorm",599
1285,53,1,"scored",NULL,"sandstorm",600
1285,53,3,"scored",NULL,"tele",601
2706,53,2,"scored",NULL,"sandstorm",602
1246,53,2,"none",NULL,"sandstorm",603
6162,53,1,"scored",NULL,"sandstorm",604
6162,53,1,"scored",NULL,"tele",605
919,53,1,"scored",NULL,"sandstorm",606
7456,53,1,"scored",NULL,"sandstorm",607
5719,54,2,"scored",NULL,"sandstorm",608
5719,54,1,"scored",NULL,"tele",609
4308,54,2,"scored",NULL,"sandstorm",614
4308,54,1,"scored",NULL,"tele",615
7136,54,1,"scored",NULL,"sandstorm",616
5024,54,2,"scored",NULL,"sandstorm",617
5024,54,2,"scored",NULL,"tele",618
188,54,1,"scored",NULL,"sandstorm",619
188,54,3,"scored",NULL,"tele",620
5036,54,1,"scored",NULL,"sandstorm",621
5036,54,1,"scored",NULL,"tele",622
5406,55,2,"scored",NULL,"sandstorm",623
5406,55,3,"scored",NULL,"tele",624
5031,55,2,"scored",NULL,"sandstorm",625
5031,55,1,"scored",NULL,"tele",626
5039,55,2,"scored",NULL,"sandstorm",627
5039,55,1,"scored",NULL,"tele",628
7476,55,1,"scored",NULL,"sandstorm",629
7476,55,1,"scored",NULL,"tele",630
4252,55,1,"scored",NULL,"sandstorm",631
6397,55,2,"scored",NULL,"sandstorm",632
